GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
48489990000,140,48,489,39700,154,,,Census Tract 9900,0,0,0,0,0,0
48005000102,140,48,005,31260,999,,,Census Tract 1.02,4447,1677,3798,1351,4447,3798
48007990000,140,48,007,18580,204,,,Census Tract 9900,0,0,0,0,0,0
48029141402,140,48,029,41700,999,,,Census Tract 1414.02,3622,1240,1417,472,3622,1417
48029170101,140,48,029,41700,999,,,Census Tract 1701.01,3839,1297,4353,1318,3839,4353
48029180800,140,48,029,41700,999,,,Census Tract 1808,2515,1396,2579,1317,2515,2579
48029181901,140,48,029,41700,999,,,Census Tract 1819.01,3452,1945,1774,1033,3452,1774
48041000103,140,48,041,17780,999,,,Census Tract 1.03,1837,806,1332,551,1837,1332
48049950100,140,48,049,15220,999,,,Census Tract 9501,2014,1579,1916,1603,2014,1916
48057990000,140,48,057,47020,999,,,Census Tract 9900,0,0,0,0,0,0
48061012800,140,48,061,15180,154,,,Census Tract 128,5380,1597,4799,1384,5380,4799
48067950500,140,48,067,99999,999,,,Census Tract 9505,2822,1281,2859,1219,2822,2859
48081950200,140,48,081,99999,999,,,Census Tract 9502,1644,1413,1907,1552,1644,1907
48085030601,140,48,085,19100,206,,,Census Tract 306.01,8448,3365,7267,2639,8448,7267
48085031641,140,48,085,19100,206,,,Census Tract 316.41,6306,1995,3778,1521,6306,3778
48099980000,140,48,099,28660,999,,,Census Tract 9800,26,12,27,10,26,27
48113008603,140,48,113,19100,206,,,Census Tract 86.03,1237,448,1687,549,1237,1687
48113008604,140,48,113,19100,206,,,Census Tract 86.04,3077,1399,2420,926,3077,2420
48113011300,140,48,113,19100,206,,,Census Tract 113,5088,1829,4686,1571,5088,4686
48113013625,140,48,113,19100,206,,,Census Tract 136.25,2625,1378,2398,1275,2625,2398
48113013626,140,48,113,19100,206,,,Census Tract 136.26,2619,1691,2393,1565,2619,2393
48113016522,140,48,113,19100,206,,,Census Tract 165.22,3068,1200,2371,891,3068,2371
48121021725,140,48,121,19100,206,,,Census Tract 217.25,3643,1233,3434,1202,3643,3434
48121021726,140,48,121,19100,206,,,Census Tract 217.26,3096,1052,2918,1026,3096,2918
48139060206,140,48,139,19100,206,,,Census Tract 602.06,5886,2285,3748,1422,5886,3748
48141010404,140,48,141,21340,999,,,Census Tract 104.04,4726,1401,4786,1302,4726,4786
48161000100,140,48,161,99999,999,,,Census Tract 1,5357,2707,4116,1980,5357,4116
48161000200,140,48,161,99999,999,,,Census Tract 2,1231,526,1355,581,1231,1355
48167723300,140,48,167,26420,288,,,Census Tract 7233,5457,2141,4081,1597,5457,4081
48183000501,140,48,183,30980,346,,,Census Tract 5.01,4801,2168,4713,2019,4801,4713
48187210803,140,48,187,41700,999,,,Census Tract 2108.03,3830,1555,3235,1236,3830,3235
48201223100,140,48,201,26420,288,,,Census Tract 2231,2111,626,2064,641,2111,2064
48201230100,140,48,201,26420,288,,,Census Tract 2301,1705,688,1863,710,1705,1863
48201254700,140,48,201,26420,288,,,Census Tract 2547,2029,896,1861,936,2029,1861
48201321700,140,48,201,26420,288,,,Census Tract 3217,3049,1011,2825,1011,3049,2825
48201350700,140,48,201,26420,288,,,Census Tract 3507,2272,861,2458,884,2272,2458
48201421900,140,48,201,26420,288,,,Census Tract 4219,2690,1127,2781,1122,2690,2781
48201534203,140,48,201,26420,288,,,Census Tract 5342.03,1716,539,1420,409,1716,1420
48201551500,140,48,201,26420,288,,,Census Tract 5515,7803,2847,3230,947,7803,3230
48201555303,140,48,201,26420,288,,,Census Tract 5553.03,4090,1625,1666,606,4090,1666
48209010807,140,48,209,12420,126,,,Census Tract 108.07,1962,875,1143,491,1962,1143
48215020600,140,48,215,32580,999,,,Census Tract 206,2528,853,2884,946,2528,2884
48215023504,140,48,215,32580,999,,,Census Tract 235.04,8256,2573,4885,1400,8256,4885
48215023507,140,48,215,32580,999,,,Census Tract 235.07,8381,2259,5936,1982,8381,5936
48245005900,140,48,245,13140,999,,,Census Tract 59,1895,834,1989,915,1895,1989
48257050203,140,48,257,19100,206,,,Census Tract 502.03,7864,2650,2289,812,7864,2289
48257050204,140,48,257,19100,206,,,Census Tract 502.04,5075,1488,1477,456,5075,1477
48293970700,140,48,293,99999,999,,,Census Tract 9707,1798,1109,1498,889,1798,1498
48349970100,140,48,349,18620,999,,,Census Tract 9701,3705,1444,2739,1175,3705,2739
48357950100,140,48,357,99999,999,,,Census Tract 9501,1677,730,1536,691,1677,1536
48381021702,140,48,381,11100,999,,,Census Tract 217.02,4325,1859,4106,1592,4325,4106
48397040401,140,48,397,19100,206,,,Census Tract 404.01,9404,3033,3259,1059,9404,3259
48397040402,140,48,397,19100,206,,,Census Tract 404.02,9026,3238,3128,1131,9026,3128
48427950108,140,48,427,40100,999,,,Census Tract 9501.08,2818,891,2437,792,2818,2437
48427950202,140,48,427,40100,999,,,Census Tract 9502.02,2660,1092,2494,1161,2660,2494
48427950203,140,48,427,40100,999,,,Census Tract 9502.03,3886,1172,3475,1011,3886,3475
48439102000,140,48,439,19100,206,,,Census Tract 1020,1316,965,926,317,1316,926
48439102201,140,48,439,19100,206,,,Census Tract 1022.01,3344,1655,3565,1664,3344,3565
48439111013,140,48,439,19100,206,,,Census Tract 1110.13,7863,2668,2238,867,7863,2238
48439111549,140,48,439,19100,206,,,Census Tract 1115.49,6408,2229,1332,498,6408,1332
48439111550,140,48,439,19100,206,,,Census Tract 1115.50,12483,3787,2883,968,12483,2883
48439111551,140,48,439,19100,206,,,Census Tract 1115.51,7066,2183,1632,558,7066,1632
48439113625,140,48,439,19100,206,,,Census Tract 1136.25,3295,1343,3666,1349,3295,3666
48439113626,140,48,439,19100,206,,,Census Tract 1136.26,3753,1580,4115,1576,3753,4115
48441012500,140,48,441,10180,999,,,Census Tract 125,3316,1439,3227,1445,3316,3227
48441012600,140,48,441,10180,999,,,Census Tract 126,3171,1382,3129,1316,3171,3129
48453001606,140,48,453,12420,126,,,Census Tract 16.06,383,0,450,0,383,450
48455950100,140,48,455,99999,999,,,Census Tract 9501,2532,1384,2616,1318,2532,2616
48473680400,140,48,473,26420,288,,,Census Tract 6804,3191,0,2763,0,3191,2763
48479001710,140,48,479,29700,999,,,Census Tract 17.10,2058,1036,707,369,2058,707
48479001711,140,48,479,29700,999,,,Census Tract 17.11,5208,1361,1790,484,5208,1790
48479001712,140,48,479,29700,999,,,Census Tract 17.12,6964,2277,3014,963,6964,3014
48491020105,140,48,491,12420,126,,,Census Tract 201.05,3640,1947,1810,893,3640,1810
48491020106,140,48,491,12420,126,,,Census Tract 201.06,3529,1309,1756,600,3529,1756
48491020107,140,48,491,12420,126,,,Census Tract 201.07,4846,3010,2411,1381,4846,2411
48491020708,140,48,491,12420,126,,,Census Tract 207.08,7271,2327,2922,901,7271,2922
48491020803,140,48,491,12420,126,,,Census Tract 208.03,4037,1543,1042,423,4037,1042
48497150402,140,48,497,19100,206,,,Census Tract 1504.02,5514,2395,4514,1867,5514,4514
48497150403,140,48,497,19100,206,,,Census Tract 1504.03,3757,1467,3185,1203,3757,3185
48007950400,140,48,007,18580,204,,,Census Tract 9504,3583,2172,3646,1725,3583,3646
48007950500,140,48,007,18580,204,,,Census Tract 9505,6308,3806,6218,2962,6308,6218
48021950502,140,48,021,12420,126,,,Census Tract 9505.02,6409,2958,4975,2192,6409,4975
48021950600,140,48,021,12420,126,,,Census Tract 9506,5184,2565,4459,2106,5184,4459
48027022101,140,48,027,28660,999,,,Census Tract 221.01,4256,2043,5059,2023,4256,5059
48027022103,140,48,027,28660,999,,,Census Tract 221.03,5518,1932,4908,1605,5518,4908
48027022405,140,48,027,28660,999,,,Census Tract 224.05,1750,939,953,493,1750,953
48029120901,140,48,029,41700,999,,,Census Tract 1209.01,2077,1071,1945,1055,2077,1945
48029120902,140,48,029,41700,999,,,Census Tract 1209.02,6123,3739,6180,3456,6123,6180
48029130900,140,48,029,41700,999,,,Census Tract 1309,4689,1836,3654,1500,4689,3654
48029131000,140,48,029,41700,999,,,Census Tract 1310,5066,1956,4793,1922,5066,4793
48029131506,140,48,029,41700,999,,,Census Tract 1315.06,3470,1178,2521,831,3470,2521
